location	n	sample
148089408	11	ERR753368_chr5
148095823	11	ERR753368_chr5
148097988	11	ERR753368_chr5
148099222	10	ERR753368_chr5
148100428	10	ERR753368_chr5
148100444	10	ERR753368_chr5
148100464	10	ERR753368_chr5
148100549	10	ERR753368_chr5
148101392	9	ERR753368_chr5
148101455	9	ERR753368_chr5
148101867	10	ERR753368_chr5
148107114	7	ERR753368_chr5
148108804	7	ERR753368_chr5
148111969	7	ERR753368_chr5
148118369	6	ERR753368_chr5
148118456	6	ERR753368_chr5
148118960	6	ERR753368_chr5
148119089	6	ERR753368_chr5
148119200	6	ERR753368_chr5
148120053	6	ERR753368_chr5
148120107	6	ERR753368_chr5
148125553	6	ERR753368_chr5
148125664	7	ERR753368_chr5
148131213	3	ERR753368_chr5
148131303	3	ERR753368_chr5
148169600	3	ERR753368_chr5
148213934	4	ERR753368_chr5
148323853	12	ERR753368_chr5
148402169	13	ERR753368_chr5
148409235	9	ERR753368_chr5
148425557	7	ERR753368_chr5
148433338	7	ERR753368_chr5
148476770	7	ERR753368_chr5
148476829	7	ERR753368_chr5
148550177	10	ERR753368_chr5
149028145	13	ERR753368_chr5
149028330	13	ERR753368_chr5
149042711	17	ERR753368_chr5
149045955	16	ERR753368_chr5
149199003	9	ERR753368_chr5
149199073	9	ERR753368_chr5
149299738	8	ERR753368_chr5
149368339	9	ERR753368_chr5
149618123	4	ERR753368_chr5
149620476	1	ERR753368_chr5
149830926	5	ERR753368_chr5
149981314	4	ERR753368_chr5
149995369	6	ERR753368_chr5
150026708	7	ERR753368_chr5
150047824	5	ERR753368_chr5
150051660	10	ERR753368_chr5
150051696	10	ERR753368_chr5
150056196	10	ERR753368_chr5
150078115	6	ERR753368_chr5
150080990	6	ERR753368_chr5
150201256	2	ERR753368_chr5
150202540	2	ERR753368_chr5
150203737	2	ERR753368_chr5
150203773	2	ERR753368_chr5
150205418	2	ERR753368_chr5
150205462	2	ERR753368_chr5
150223045	20	ERR753368_chr5
150265034	21	ERR753368_chr5
150298288	3	ERR753368_chr5
150446963	8	ERR753368_chr5
150527971	2	ERR753368_chr5
150528040	2	ERR753368_chr5
150540177	3	ERR753368_chr5
150541689	3	ERR753368_chr5
150649016	7	ERR753368_chr5
150672396	12	ERR753368_chr5
150932116	6	ERR753368_chr5
150932211	6	ERR753368_chr5
151027895	23	ERR753368_chr5
151105226	8	ERR753368_chr5
151109829	8	ERR753368_chr5
151117292	8	ERR753368_chr5
151199013	5	ERR753368_chr5
151223883	5	ERR753368_chr5
151259878	3	ERR753368_chr5
151469140	8	ERR753368_chr5
151507164	3	ERR753368_chr5
151507321	3	ERR753368_chr5
151521550	3	ERR753368_chr5
151521700	4	ERR753368_chr5
151521739	4	ERR753368_chr5
151543844	1	ERR753368_chr5
151567405	1	ERR753368_chr5
151568455	1	ERR753368_chr5
152392256	4	ERR753368_chr5
153764656	8	ERR753368_chr5
153992965	6	ERR753368_chr5
154049899	12	ERR753368_chr5
154053173	10	ERR753368_chr5
154053410	10	ERR753368_chr5
154329403	8	ERR753368_chr5
154329483	8	ERR753368_chr5
154356257	10	ERR753368_chr5
154596016	2	ERR753368_chr5
154814175	12	ERR753368_chr5
154889342	2	ERR753368_chr5
154892388	3	ERR753368_chr5
154899328	1	ERR753368_chr5
154902991	1	ERR753368_chr5
154907555	1	ERR753368_chr5
154911659	1	ERR753368_chr5
154911849	1	ERR753368_chr5
154921380	1	ERR753368_chr5
154927412	2	ERR753368_chr5
155015598	1	ERR753368_chr5
156393686	4	ERR753368_chr5
156393706	4	ERR753368_chr5
156963286	3	ERR753368_chr5
157037201	6	ERR753368_chr5
157052312	5	ERR753368_chr5
157052413	5	ERR753368_chr5
157052498	5	ERR753368_chr5
157052561	5	ERR753368_chr5
157055448	5	ERR753368_chr5
157104725	12	ERR753368_chr5
157252566	5	ERR753368_chr5
157472861	8	ERR753368_chr5
157491842	4	ERR753368_chr5
157572332	6	ERR753368_chr5
157737954	3	ERR753368_chr5
160078201	4	ERR753368_chr5
160199237	5	ERR753368_chr5
160238592	4	ERR753368_chr5
160238719	4	ERR753368_chr5
160238726	4	ERR753368_chr5
160404796	6	ERR753368_chr5
160617848	5	ERR753368_chr5
161689897	10	ERR753368_chr5
161692065	9	ERR753368_chr5
161692119	9	ERR753368_chr5
161701755	3	ERR753368_chr5
161895883	15	ERR753368_chr5
163513733	33	ERR753368_chr5
163513993	33	ERR753368_chr5
168226359	10	ERR753368_chr5
168423743	7	ERR753368_chr5
168486505	14	ERR753368_chr5
168516822	2	ERR753368_chr5
168530050	2	ERR753368_chr5
168748319	6	ERR753368_chr5
168753076	4	ERR753368_chr5
168785946	6	ERR753368_chr5
169594606	14	ERR753368_chr5
169601477	3	ERR753368_chr5
170034395	6	ERR753368_chr5
170041239	6	ERR753368_chr5
170108518	2	ERR753368_chr5
170953519	10	ERR753368_chr5
171183269	11	ERR753368_chr5
171213823	8	ERR753368_chr5
171392883	32	ERR753368_chr5
171790367	4	ERR753368_chr5
172045571	3	ERR753368_chr5
172127512	2	ERR753368_chr5
172255270	3	ERR753368_chr5
172769708	6	ERR753368_chr5
172867510	18	ERR753368_chr5
172909613	24	ERR753368_chr5
172920437	27	ERR753368_chr5
172968661	6	ERR753368_chr5
172969391	6	ERR753368_chr5
173889726	10	ERR753368_chr5
173989362	2	ERR753368_chr5
174562032	1	ERR753368_chr5
174725097	3	ERR753368_chr5
174729165	2	ERR753368_chr5
174751771	3	ERR753368_chr5
175441837	1	ERR753368_chr5
175443147	1	ERR753368_chr5
176384092	14	ERR753368_chr5
176488834	5	ERR753368_chr5
176567124	4	ERR753368_chr5
176568856	4	ERR753368_chr5
176575541	3	ERR753368_chr5
176575706	3	ERR753368_chr5
176577475	3	ERR753368_chr5
176578183	5	ERR753368_chr5
176578476	11	ERR753368_chr5
176598937	4	ERR753368_chr5
176629528	12	ERR753368_chr5
176654590	9	ERR753368_chr5
176654855	9	ERR753368_chr5
176654906	9	ERR753368_chr5
176878465	7	ERR753368_chr5
176881870	6	ERR753368_chr5
176907194	8	ERR753368_chr5
176955994	6	ERR753368_chr5
177090291	15	ERR753368_chr5
177090325	15	ERR753368_chr5
177090796	15	ERR753368_chr5
177096561	9	ERR753368_chr5
177096596	9	ERR753368_chr5
177209881	15	ERR753368_chr5
177210470	15	ERR753368_chr5
177210575	15	ERR753368_chr5
177211505	15	ERR753368_chr5
177294118	12	ERR753368_chr5
177294197	12	ERR753368_chr5
177306115	27	ERR753368_chr5
177306615	26	ERR753368_chr5
177310719	17	ERR753368_chr5
177404979	16	ERR753368_chr5
177409531	10	ERR753368_chr5
177458177	12	ERR753368_chr5
177489515	16	ERR753368_chr5
177509649	30	ERR753368_chr5
177511680	36	ERR753368_chr5
177512687	36	ERR753368_chr5
177512734	36	ERR753368_chr5
177513383	36	ERR753368_chr5
177513870	36	ERR753368_chr5
177523878	13	ERR753368_chr5
177524275	13	ERR753368_chr5
177592687	8	ERR753368_chr5
177604966	9	ERR753368_chr5
177608963	10	ERR753368_chr5
177609042	10	ERR753368_chr5
177631654	3	ERR753368_chr5
177632129	3	ERR753368_chr5
177971517	3	ERR753368_chr5
177995875	2	ERR753368_chr5
178143758	13	ERR753368_chr5
178147900	17	ERR753368_chr5
178185743	2	ERR753368_chr5
178185982	2	ERR753368_chr5
178186122	2	ERR753368_chr5
178186167	2	ERR753368_chr5
178229899	15	ERR753368_chr5
178248216	8	ERR753368_chr5
178866234	2	ERR753368_chr5
178932135	5	ERR753368_chr5
178964901	3	ERR753368_chr5
178968849	3	ERR753368_chr5
178980025	6	ERR753368_chr5
178980228	6	ERR753368_chr5
178980291	6	ERR753368_chr5
178980420	6	ERR753368_chr5
178983150	7	ERR753368_chr5
178983212	7	ERR753368_chr5
178983233	7	ERR753368_chr5
178983737	7	ERR753368_chr5
178986815	7	ERR753368_chr5
178992287	5	ERR753368_chr5
178998483	4	ERR753368_chr5
179032425	4	ERR753368_chr5
179130141	3	ERR753368_chr5
179207546	4	ERR753368_chr5
179207618	4	ERR753368_chr5
179569434	9	ERR753368_chr5
179589663	8	ERR753368_chr5
179594981	10	ERR753368_chr5
179616074	44	ERR753368_chr5
179618141	50	ERR753368_chr5
179642308	8	ERR753368_chr5
179644865	8	ERR753368_chr5
179651939	2	ERR753368_chr5
179709137	47	ERR753368_chr5
179726796	46	ERR753368_chr5
179766597	3	ERR753368_chr5
179791841	9	ERR753368_chr5
179833153	16	ERR753368_chr5
179837731	25	ERR753368_chr5
179840783	24	ERR753368_chr5
179853379	20	ERR753368_chr5
179860576	30	ERR753368_chr5
179863845	16	ERR753368_chr5
179980229	7	ERR753368_chr5
180259378	13	ERR753368_chr5
180301707	1	ERR753368_chr5
180302519	1	ERR753368_chr5
180614001	9	ERR753368_chr5
180614008	9	ERR753368_chr5
180614208	9	ERR753368_chr5
180619344	10	ERR753368_chr5
180739461	1	ERR753368_chr5
180791668	17	ERR753368_chr5
180791820	17	ERR753368_chr5
180791831	17	ERR753368_chr5
180792304	17	ERR753368_chr5
180849402	7	ERR753368_chr5
180851393	7	ERR753368_chr5
180982595	2	ERR753368_chr5
181045498	7	ERR753368_chr5
181045513	7	ERR753368_chr5
181055899	9	ERR753368_chr5
181059785	6	ERR753368_chr5
181155604	2	ERR753368_chr5
140417	4	ERR753369_chr5
140521	4	ERR753369_chr5
140673	4	ERR753369_chr5
143082	4	ERR753369_chr5
143419	4	ERR753369_chr5
155022	4	ERR753369_chr5
155252	3	ERR753369_chr5
155514	3	ERR753369_chr5
156065	3	ERR753369_chr5
156172	3	ERR753369_chr5
163090	2	ERR753369_chr5
163145	2	ERR753369_chr5
163151	2	ERR753369_chr5
171183	3	ERR753369_chr5
182176	3	ERR753369_chr5
195203	3	ERR753369_chr5
230865	11	ERR753369_chr5
230996	11	ERR753369_chr5
235433	12	ERR753369_chr5
311363	11	ERR753369_chr5
368084	6	ERR753369_chr5
422637	7	ERR753369_chr5
442675	9	ERR753369_chr5
474989	25	ERR753369_chr5
619218	1	ERR753369_chr5
766795	8	ERR753369_chr5
766918	8	ERR753369_chr5
795949	3	ERR753369_chr5
801247	3	ERR753369_chr5
840227	10	ERR753369_chr5
1035367	5	ERR753369_chr5
1076344	5	ERR753369_chr5
1078783	5	ERR753369_chr5
1085414	3	ERR753369_chr5
1094274	2	ERR753369_chr5
1216660	2	ERR753369_chr5
1221084	4	ERR753369_chr5
1225588	4	ERR753369_chr5
1240642	1	ERR753369_chr5
1244310	1	ERR753369_chr5
1344343	5	ERR753369_chr5
1416027	2	ERR753369_chr5
1479563	7	ERR753369_chr5
1494794	8	ERR753369_chr5
1572203	6	ERR753369_chr5
1814669	2	ERR753369_chr5
1880751	11	ERR753369_chr5
1881802	11	ERR753369_chr5
1882015	13	ERR753369_chr5
3600220	3	ERR753369_chr5
4095508	1	ERR753369_chr5
4929938	1	ERR753369_chr5
4930068	1	ERR753369_chr5
5146087	4	ERR753369_chr5
5146110	4	ERR753369_chr5
5146222	4	ERR753369_chr5
5146282	4	ERR753369_chr5
5187663	3	ERR753369_chr5
5200168	3	ERR753369_chr5
5222960	3	ERR753369_chr5
5239808	3	ERR753369_chr5
5239889	3	ERR753369_chr5
5460456	1	ERR753369_chr5
5460506	1	ERR753369_chr5
5462035	1	ERR753369_chr5
6378501	5	ERR753369_chr5
6602555	10	ERR753369_chr5
6644903	5	ERR753369_chr5
6656097	4	ERR753369_chr5
6748546	6	ERR753369_chr5
7301462	3	ERR753369_chr5
7520768	3	ERR753369_chr5
7695732	3	ERR753369_chr5
7695915	3	ERR753369_chr5
7835572	2	ERR753369_chr5
7866854	23	ERR753369_chr5
7867917	23	ERR753369_chr5
7870860	23	ERR753369_chr5
7878066	14	ERR753369_chr5
8461053	16	ERR753369_chr5
9280729	4	ERR753369_chr5
9280845	4	ERR753369_chr5
9629417	4	ERR753369_chr5
10227436	7	ERR753369_chr5
10236815	7	ERR753369_chr5
10236924	7	ERR753369_chr5
10239149	7	ERR753369_chr5
10239166	7	ERR753369_chr5
10250318	22	ERR753369_chr5
10250331	21	ERR753369_chr5
10254705	22	ERR753369_chr5
10254909	15	ERR753369_chr5
10256049	14	ERR753369_chr5
10261430	14	ERR753369_chr5
10262628	14	ERR753369_chr5
10264850	12	ERR753369_chr5
10748119	7	ERR753369_chr5
10748350	7	ERR753369_chr5
11082650	8	ERR753369_chr5
11084077	8	ERR753369_chr5
13735783	2	ERR753369_chr5
13754285	2	ERR753369_chr5
13762863	3	ERR753369_chr5
13882849	4	ERR753369_chr5
13894785	4	ERR753369_chr5
13900236	4	ERR753369_chr5
13931096	11	ERR753369_chr5
13931231	10	ERR753369_chr5
13944403	2	ERR753369_chr5
14183913	8	ERR753369_chr5
14183970	8	ERR753369_chr5
14290696	10	ERR753369_chr5
14330831	7	ERR753369_chr5
14377959	6	ERR753369_chr5
14479829	9	ERR753369_chr5
14640700	1	ERR753369_chr5
16480953	20	ERR753369_chr5
16666894	7	ERR753369_chr5
16673866	5	ERR753369_chr5
16679857	6	ERR753369_chr5
16681857	5	ERR753369_chr5
16684000	5	ERR753369_chr5
16704697	8	ERR753369_chr5
16764225	3	ERR753369_chr5
16765984	3	ERR753369_chr5
16783329	4	ERR753369_chr5
16794807	4	ERR753369_chr5
18783511	1	ERR753369_chr5
19591065	7	ERR753369_chr5
19721381	8	ERR753369_chr5
21497162	9	ERR753369_chr5
21751941	6	ERR753369_chr5
21751947	6	ERR753369_chr5
21760493	6	ERR753369_chr5
23523239	3	ERR753369_chr5
23976006	4	ERR753369_chr5
24170408	3	ERR753369_chr5
25909814	1	ERR753369_chr5
25910510	1	ERR753369_chr5
25910820	1	ERR753369_chr5
25911179	1	ERR753369_chr5
25911228	1	ERR753369_chr5
26886152	2	ERR753369_chr5
26988221	4	ERR753369_chr5
26988317	4	ERR753369_chr5
31302181	3	ERR753369_chr5
31317387	3	ERR753369_chr5
31317422	3	ERR753369_chr5
31317845	22	ERR753369_chr5
31322744	3	ERR753369_chr5
31401340	6	ERR753369_chr5
31472010	9	ERR753369_chr5
31483489	6	ERR753369_chr5
31486433	6	ERR753369_chr5
31538585	9	ERR753369_chr5
32058009	5	ERR753369_chr5
32101062	6	ERR753369_chr5
32247971	4	ERR753369_chr5
32270641	5	ERR753369_chr5
32379104	4	ERR753369_chr5
32400161	1	ERR753369_chr5
32403241	2	ERR753369_chr5
32417589	3	ERR753369_chr5
32523237	2	ERR753369_chr5
33457430	13	ERR753369_chr5
33458531	9	ERR753369_chr5
33466885	8	ERR753369_chr5
33595891	3	ERR753369_chr5
33615799	4	ERR753369_chr5
33643512	3	ERR753369_chr5
33951588	4	ERR753369_chr5
33954406	4	ERR753369_chr5
33989413	10	ERR753369_chr5
33998778	7	ERR753369_chr5
34687806	23	ERR753369_chr5
34807823	20	ERR753369_chr5
34821720	9	ERR753369_chr5
34840736	11	ERR753369_chr5
34954483	13	ERR753369_chr5
34998673	4	ERR753369_chr5
34998772	4	ERR753369_chr5
35010033	5	ERR753369_chr5
35026578	5	ERR753369_chr5
35033500	4	ERR753369_chr5
35036901	5	ERR753369_chr5
35039381	5	ERR753369_chr5
35643513	9	ERR753369_chr5
35654609	8	ERR753369_chr5
35700496	8	ERR753369_chr5
35708993	9	ERR753369_chr5
35709082	9	ERR753369_chr5
35712905	6	ERR753369_chr5
35764485	4	ERR753369_chr5
35764501	4	ERR753369_chr5
35764594	4	ERR753369_chr5
35789062	9	ERR753369_chr5
35799892	6	ERR753369_chr5
35857105	8	ERR753369_chr5
35910317	5	ERR753369_chr5
35910427	5	ERR753369_chr5
35920967	7	ERR753369_chr5
35954486	7	ERR753369_chr5
35962882	7	ERR753369_chr5
36171678	26	ERR753369_chr5
36195346	15	ERR753369_chr5
36207322	10	ERR753369_chr5
36219608	9	ERR753369_chr5
36253835	3	ERR753369_chr5
36260874	4	ERR753369_chr5
36268116	4	ERR753369_chr5
36269449	4	ERR753369_chr5
37364341	4	ERR753369_chr5
37687908	4	ERR753369_chr5
37687992	4	ERR753369_chr5
37752395	4	ERR753369_chr5
38931817	3	ERR753369_chr5
38950674	4	ERR753369_chr5
38955694	4	ERR753369_chr5
38962441	6	ERR753369_chr5
39108220	8	ERR753369_chr5
39119621	6	ERR753369_chr5
39374980	6	ERR753369_chr5
39719808	1	ERR753369_chr5
40843448	3	ERR753369_chr5
40843633	3	ERR753369_chr5
40949895	7	ERR753369_chr5
40955459	7	ERR753369_chr5
40972009	12	ERR753369_chr5
40998094	7	ERR753369_chr5
40998133	7	ERR753369_chr5
40998712	7	ERR753369_chr5
40999798	7	ERR753369_chr5
41000241	7	ERR753369_chr5
41004294	7	ERR753369_chr5
41004304	7	ERR753369_chr5
41005689	6	ERR753369_chr5
41008678	6	ERR753369_chr5
41032896	4	ERR753369_chr5
41033010	4	ERR753369_chr5
41034079	4	ERR753369_chr5
41038898	4	ERR753369_chr5
41042182	4	ERR753369_chr5
41045666	5	ERR753369_chr5
41045733	5	ERR753369_chr5
41048431	5	ERR753369_chr5
41049287	5	ERR753369_chr5
41049295	5	ERR753369_chr5
41050897	5	ERR753369_chr5
41054832	5	ERR753369_chr5
41061614	4	ERR753369_chr5
41061769	4	ERR753369_chr5
41070738	2	ERR753369_chr5
41158761	6	ERR753369_chr5
41199857	7	ERR753369_chr5
41382589	2	ERR753369_chr5
41475664	2	ERR753369_chr5
41853412	1	ERR753369_chr5
42699942	10	ERR753369_chr5
42719137	11	ERR753369_chr5
42769742	2	ERR753369_chr5
43039691	18	ERR753369_chr5
43161235	15	ERR753369_chr5
44310390	2	ERR753369_chr5
50402346	5	ERR753369_chr5
50633317	1	ERR753369_chr5
50757054	18	ERR753369_chr5
50757181	18	ERR753369_chr5
52788531	21	ERR753369_chr5
52801055	9	ERR753369_chr5
52861540	7	ERR753369_chr5
52897456	3	ERR753369_chr5
52939972	7	ERR753369_chr5
53042078	6	ERR753369_chr5
53042253	6	ERR753369_chr5
53048780	6	ERR753369_chr5
53051539	6	ERR753369_chr5
53055583	6	ERR753369_chr5
53058273	6	ERR753369_chr5
53060024	6	ERR753369_chr5
53070308	7	ERR753369_chr5
53071836	7	ERR753369_chr5
53071876	7	ERR753369_chr5
53074344	6	ERR753369_chr5
53083447	6	ERR753369_chr5
53090634	7	ERR753369_chr5
53646253	6	ERR753369_chr5
53646367	6	ERR753369_chr5
54310465	22	ERR753369_chr5
54456071	2	ERR753369_chr5
54456158	2	ERR753369_chr5
54519665	4	ERR753369_chr5
54519730	4	ERR753369_chr5
54857975	2	ERR753369_chr5
54858381	2	ERR753369_chr5
54956517	1	ERR753369_chr5
54957727	1	ERR753369_chr5
54957753	1	ERR753369_chr5
55024872	19	ERR753369_chr5
55108129	3	ERR753369_chr5
55108187	3	ERR753369_chr5
55114292	4	ERR753369_chr5
55137565	5	ERR753369_chr5
55143638	5	ERR753369_chr5
55164133	13	ERR753369_chr5
55220693	4	ERR753369_chr5
55222832	3	ERR753369_chr5
55397546	2	ERR753369_chr5
55397574	2	ERR753369_chr5
55410498	3	ERR753369_chr5
55414115	4	ERR753369_chr5
55425814	5	ERR753369_chr5
55441710	5	ERR753369_chr5
55441923	5	ERR753369_chr5
55441963	5	ERR753369_chr5
55490968	4	ERR753369_chr5
55627840	10	ERR753369_chr5
55627877	10	ERR753369_chr5
55664781	15	ERR753369_chr5
55664845	17	ERR753369_chr5
55691135	17	ERR753369_chr5
55766936	14	ERR753369_chr5
55768015	14	ERR753369_chr5
55786646	9	ERR753369_chr5
55908359	10	ERR753369_chr5
55956103	23	ERR753369_chr5
56856589	2	ERR753369_chr5
56865960	2	ERR753369_chr5
56881616	2	ERR753369_chr5
56881916	2	ERR753369_chr5
56882390	2	ERR753369_chr5
56909816	13	ERR753369_chr5
56910246	13	ERR753369_chr5
56911296	12	ERR753369_chr5
56916768	12	ERR753369_chr5
56930583	6	ERR753369_chr5
56933461	8	ERR753369_chr5
58454523	16	ERR753369_chr5
58458178	16	ERR753369_chr5
58458305	16	ERR753369_chr5
58458981	18	ERR753369_chr5
58494510	7	ERR753369_chr5
58546222	1	ERR753369_chr5
58990798	13	ERR753369_chr5
59002054	14	ERR753369_chr5
59002064	14	ERR753369_chr5
59180291	14	ERR753369_chr5
59193392	15	ERR753369_chr5
59193558	15	ERR753369_chr5
60603586	4	ERR753369_chr5
60689070	5	ERR753369_chr5
60945315	40	ERR753369_chr5
60945441	34	ERR753369_chr5
61073256	7	ERR753369_chr5
61703941	41	ERR753369_chr5
62347110	18	ERR753369_chr5
62347989	17	ERR753369_chr5
62358360	18	ERR753369_chr5
62361401	16	ERR753369_chr5
62381075	16	ERR753369_chr5
62381084	16	ERR753369_chr5
62398552	18	ERR753369_chr5
62402032	20	ERR753369_chr5
62403404	20	ERR753369_chr5
62777291	1	ERR753369_chr5
64609241	2	ERR753369_chr5
64695646	5	ERR753369_chr5
64977191	14	ERR753369_chr5
65563765	23	ERR753369_chr5
65569578	12	ERR753369_chr5
65586109	12	ERR753369_chr5
65594652	3	ERR753369_chr5
65610790	6	ERR753369_chr5
65624164	16	ERR753369_chr5
65624976	16	ERR753369_chr5
65777397	6	ERR753369_chr5
66054216	23	ERR753369_chr5
66917157	11	ERR753369_chr5
67133501	4	ERR753369_chr5
67164050	5	ERR753369_chr5
67184176	2	ERR753369_chr5
68198318	1	ERR753369_chr5
69175420	7	ERR753369_chr5
69320504	7	ERR753369_chr5
69410611	19	ERR753369_chr5
69419483	17	ERR753369_chr5
69424592	8	ERR753369_chr5
69432717	7	ERR753369_chr5
71011637	8	ERR753369_chr5
71012424	8	ERR753369_chr5
71455991	7	ERR753369_chr5
71504648	3	ERR753369_chr5
71504711	3	ERR753369_chr5
71510630	3	ERR753369_chr5
71510822	3	ERR753369_chr5
71510884	3	ERR753369_chr5
71511131	3	ERR753369_chr5
71626789	26	ERR753369_chr5
71632029	30	ERR753369_chr5
71635139	32	ERR753369_chr5
71636175	35	ERR753369_chr5
71649248	37	ERR753369_chr5
71652558	37	ERR753369_chr5
71656679	35	ERR753369_chr5
71850930	1	ERR753369_chr5
71851055	1	ERR753369_chr5
71851062	1	ERR753369_chr5
72116546	5	ERR753369_chr5
72195135	5	ERR753369_chr5
72199214	4	ERR753369_chr5
72228336	25	ERR753369_chr5
72443719	2	ERR753369_chr5
72447197	2	ERR753369_chr5
72460275	3	ERR753369_chr5
72851442	15	ERR753369_chr5
72878605	12	ERR753369_chr5
72888271	8	ERR753369_chr5
73068846	3	ERR753369_chr5
73504583	15	ERR753369_chr5
73576941	5	ERR753369_chr5
73578976	5	ERR753369_chr5
73579082	5	ERR753369_chr5
73685044	6	ERR753369_chr5
73776529	6	ERR753369_chr5
73776705	6	ERR753369_chr5
73795301	6	ERR753369_chr5
73795403	6	ERR753369_chr5
73849020	7	ERR753369_chr5
73864905	7	ERR753369_chr5
74043289	2	ERR753369_chr5
74634926	8	ERR753369_chr5
74635421	9	ERR753369_chr5
74685445	5	ERR753369_chr5
74696784	4	ERR753369_chr5
74713502	7	ERR753369_chr5
74738420	8	ERR753369_chr5
74758770	6	ERR753369_chr5
74774038	10	ERR753369_chr5
74838917	7	ERR753369_chr5
74930206	3	ERR753369_chr5
74930317	3	ERR753369_chr5
75028723	4	ERR753369_chr5
75029077	3	ERR753369_chr5
76131693	2	ERR753369_chr5
76132110	2	ERR753369_chr5
76511157	3	ERR753369_chr5
76611026	14	ERR753369_chr5
76627469	14	ERR753369_chr5
76627482	14	ERR753369_chr5
76628644	12	ERR753369_chr5
76631810	12	ERR753369_chr5
76665040	9	ERR753369_chr5
76832696	3	ERR753369_chr5
76833228	3	ERR753369_chr5
77413162	6	ERR753369_chr5
77464670	23	ERR753369_chr5
77785784	3	ERR753369_chr5
77785843	2	ERR753369_chr5
78116187	21	ERR753369_chr5
78129204	20	ERR753369_chr5
78839453	2	ERR753369_chr5
78885600	4	ERR753369_chr5
79032859	5	ERR753369_chr5
79044239	5	ERR753369_chr5
79044434	5	ERR753369_chr5
79044463	5	ERR753369_chr5
79055813	7	ERR753369_chr5
79277967	1	ERR753369_chr5
79291312	1	ERR753369_chr5
79300221	2	ERR753369_chr5
79876313	1	ERR753369_chr5
80147346	5	ERR753369_chr5
80177464	5	ERR753369_chr5
80202804	5	ERR753369_chr5
80320264	3	ERR753369_chr5
80437260	8	ERR753369_chr5
80437458	9	ERR753369_chr5
80438478	10	ERR753369_chr5
80438590	10	ERR753369_chr5
80440039	11	ERR753369_chr5
80443866	10	ERR753369_chr5
80445199	10	ERR753369_chr5
80448002	9	ERR753369_chr5
80449650	10	ERR753369_chr5
80451472	10	ERR753369_chr5
80477209	9	ERR753369_chr5
80519839	3	ERR753369_chr5
80559553	2	ERR753369_chr5
80560057	2	ERR753369_chr5
80670210	4	ERR753369_chr5
80854162	6	ERR753369_chr5
80873118	5	ERR753369_chr5
81335692	3	ERR753369_chr5
82253397	6	ERR753369_chr5
82253421	6	ERR753369_chr5
82276365	13	ERR753369_chr5
83555069	11	ERR753369_chr5
83572354	8	ERR753369_chr5
83579981	8	ERR753369_chr5
86286894	2	ERR753369_chr5
87399457	10	ERR753369_chr5
90407824	9	ERR753369_chr5
90473911	10	ERR753369_chr5
90485777	7	ERR753369_chr5
90511894	6	ERR753369_chr5
90520482	4	ERR753369_chr5
90520566	4	ERR753369_chr5
90525167	5	ERR753369_chr5
90529393	8	ERR753369_chr5
90811291	7	ERR753369_chr5
90823507	6	ERR753369_chr5
91153214	14	ERR753369_chr5
94396280	3	ERR753369_chr5
94707648	9	ERR753369_chr5
95318483	1	ERR753369_chr5
95406037	7	ERR753369_chr5
95406133	7	ERR753369_chr5
95406269	7	ERR753369_chr5
95658635	12	ERR753369_chr5
95682678	7	ERR753369_chr5
95748427	6	ERR753369_chr5
95755490	5	ERR753369_chr5
95755497	5	ERR753369_chr5
95898673	4	ERR753369_chr5
95898688	4	ERR753369_chr5
95898926	4	ERR753369_chr5
95900711	4	ERR753369_chr5
95900755	4	ERR753369_chr5
96393194	4	ERR753369_chr5
96397408	4	ERR753369_chr5
96730948	38	ERR753369_chr5
96742605	44	ERR753369_chr5
96743683	45	ERR753369_chr5
96743698	45	ERR753369_chr5
96753954	39	ERR753369_chr5
96757518	38	ERR753369_chr5
96762510	36	ERR753369_chr5
96766240	37	ERR753369_chr5
96771498	39	ERR753369_chr5
96781236	11	ERR753369_chr5
96781596	9	ERR753369_chr5
96783148	8	ERR753369_chr5
96785702	8	ERR753369_chr5
96785820	8	ERR753369_chr5
96786011	8	ERR753369_chr5
96788627	7	ERR753369_chr5
96788744	7	ERR753369_chr5
96790207	7	ERR753369_chr5
96790494	8	ERR753369_chr5
96790605	8	ERR753369_chr5
96792202	4	ERR753369_chr5
96793809	5	ERR753369_chr5
96795133	6	ERR753369_chr5
96803547	8	ERR753369_chr5
96986715	2	ERR753369_chr5
97167674	6	ERR753369_chr5
97167819	6	ERR753369_chr5
97177767	7	ERR753369_chr5
97178922	8	ERR753369_chr5
97179013	8	ERR753369_chr5
97183088	8	ERR753369_chr5
97183223	9	ERR753369_chr5
97183390	9	ERR753369_chr5
100379495	1	ERR753369_chr5
102459786	6	ERR753369_chr5
102480400	7	ERR753369_chr5
103028154	19	ERR753369_chr5
103028839	19	ERR753369_chr5
103555994	4	ERR753369_chr5
104643268	7	ERR753369_chr5
104643418	7	ERR753369_chr5
105099675	3	ERR753369_chr5
109356037	2	ERR753369_chr5
109378269	4	ERR753369_chr5
109378281	4	ERR753369_chr5
109378597	5	ERR753369_chr5
109383450	4	ERR753369_chr5
109774836	1	ERR753369_chr5
109781470	1	ERR753369_chr5
109845981	1	ERR753369_chr5
109847640	1	ERR753369_chr5
110948601	1	ERR753369_chr5
110948628	1	ERR753369_chr5
110948654	1	ERR753369_chr5
110948671	1	ERR753369_chr5
